"Num_Acc","date","lat","long","categorie","v_max","plan","largeur_TPC","largeur_chaussée","etat_surface","Aménagement","Situation_accident","dep"
"202000031261","2020-06-04T00:00:00.000000","   45.685792","   -0.166508","Voie Communales","          50","Partie rectiligne","           0","           7","Normale","Aucun","Sur chaussée","          16"
"202000031433","2020-05-30T00:00:00.000000","   45.688598","   -0.314863","Route Départementale","          50","Partie rectiligne","           0","           7","Normale","Aucun","Sur chaussée","          16"
"202000031499","2020-08-02T00:00:00.000000","   45.278646","    0.100368","Route Départementale","          80","En courbe à gauche","           0","          54","Normale","Aucun","Sur accotement","          16"
"202000031683","2020-10-01T00:00:00.000000","   45.676666","   -0.175574","Route Départementale","          50","Partie rectiligne","           0","          58","Mouillée","Aucun","Sur chaussée","          16"
"202000031894","2020-12-13T00:00:00.000000","   45.746124","   -0.201464","Route Départementale","          70","En S","           0","          52","Normale","Aucun","Sur accotement","          16"
"202000032020","2020-01-16T00:00:00.000000","  45.8932639","   0.8031164","Route Départementale","          70","Partie rectiligne","           0","         105","Normale","Carrefour aménagé","Sur chaussée","          16"
"202000033479","2020-06-02T00:00:00.000000","   45.580449","    0.048217","Route Départementale","          50","Partie rectiligne","           0","          62","Normale","Aucun","Sur accotement","          16"
"201900058249","2019-09-21T00:00:00.000000","   45.520571","   -0.099306","Route nationale","         110","En courbe à gauche","         2.5","          14","Mouillée","Aucun","Sur bande d’arrêt d’urgence","          16"
"202000033938","2020-01-14T00:00:00.000000","  46.0168795","   0.1982044","Route Départementale","          50","Partie rectiligne","           0","           7","Normale","Carrefour aménagé","Sur chaussée","          16"
"202000034162","2020-07-02T00:00:00.000000","    45.67946","    -0.32833","Route Départementale","          50","Partie rectiligne","           0","           7","Normale","Aucun","Sur chaussée","          16"
"202000034954","2020-07-31T00:00:00.000000","   46.044642","    0.663385","Route Départementale","          90","Partie rectiligne","           0","           7","Normale","Aucun","Sur accotement","          16"
"202000035227","2020-06-01T00:00:00.000000","   45.577523","    0.033925","Route Départementale","          50","En courbe à gauche","          88","          78","Normale","Carrefour aménagé","Sur chaussée","          16"
"202000035748","2020-12-11T00:00:00.000000","   46.078455","    0.199304","Route Départementale","          50","En courbe à gauche","           0","          39","Mouillée","Aucun","Sur chaussée","          16"
"202000036294","2020-03-13T00:00:00.000000","    46.33417","     -0.4755","Route Départementale","          50","En courbe à droite","           2","          13","Normale","Aucun","Autres","          79"
"202000038383","2020-09-01T00:00:00.000000","    46.38338","   -0.205624","Autoroute","         130","En courbe à droite","           5","         145","Normale","Pont - autopont","Sur chaussée","          79"
"202000038667","2020-01-10T00:00:00.000000","   45.881286","    0.183099","Route Départementale","          50","Partie rectiligne","           0","          55","Normale","Aucun","Sur chaussée","          16"
"202000038759","2020-02-07T00:00:00.000000","   45.940377","   -0.009055","Voie Communales","          80","En S","           0","           4","Normale","Aucun","Sur chaussée","          16"
"202000039132","2020-07-27T00:00:00.000000","    45.68083","     -0.3359","Voie Communales","          50","Partie rectiligne","           0","          62","Normale","Aucun","Sur chaussée","          16"
"202000039803","2020-09-26T00:00:00.000000","    45.90636","    0.256963","Route Départementale","          80","Partie rectiligne","           0","          52","Normale","Aucun","Sur accotement","          16"
"202000039867","2020-10-25T00:00:00.000000","    45.68861","   -0.314931","Route Départementale","          50","Partie rectiligne","           0","           7","Normale","Aucun","Sur chaussée","          16"
"202000039920","2020-10-26T00:00:00.000000","   45.512805","    0.166769","Route Départementale","          90","En courbe à gauche","           0","           7","Mouillée","Aucun","Sur chaussée","          16"
"202000040174","2020-03-13T00:00:00.000000","   46.652249","   -0.228031","Route nationale","          50","Partie rectiligne","           3","          21","Normale","Carrefour aménagé","Sur chaussée","          79"
"201900058788","2019-12-01T00:00:00.000000","   45.629405","   -0.262085","Route Départementale","          80","En courbe à gauche","           0","         5.4","Normale","Aucun","Sur accotement","          16"
"202000040556","2020-02-06T00:00:00.000000","  45.6606465","  -0.2972061","Route Départementale","          80","Partie rectiligne","           0","          64","Normale","Aucun","Sur accotement","          16"
"202000040820","2020-09-23T00:00:00.000000","    45.64129","     0.13169","Voie Communales","          50","Partie rectiligne","           0","          -1","Normale","Aucun","Sur chaussée","          16"
"202000041268","2020-01-08T00:00:00.000000","  45.9165654","   0.2439266","Route Départementale","          50","Partie rectiligne","           0","           5","Mouillée","Aucun","Sur chaussée","          16"
"202000041472","2020-05-28T00:00:00.000000","   45.539812","    0.171999","Route Départementale","          80","En courbe à droite","           0","          58","Normale","Aucun","Sur chaussée","          16"
"202000042055","2020-08-28T00:00:00.000000","    46.04379","    0.221141","Route Départementale","          80","Partie rectiligne","           0","          59","Normale","Aucun","Sur chaussée","          16"
"202000042697","2020-07-26T00:00:00.000000","  46.9632514","  -0.2099144","Route Départementale","          80","En courbe à droite","          82","          -1","Normale","Aucun","Sur accotement","          79"
"202000042886","2020-07-27T00:00:00.000000","   45.934837","    0.879684","Route Départementale","          80","En courbe à gauche","           0","          62","Normale","Aucun","Sur chaussée","          16"
"202000042961","2020-01-06T00:00:00.000000","   46.074511","    0.792409","Route Départementale","          80","En S","           0","           3","Normale","Aucun","Sur accotement","          16"
"202000044447","2020-06-27T00:00:00.000000","     45.6683","     0.49988","Route Départementale","          50","Partie rectiligne","           0","           7","Normale","Aucun","Sur accotement","          16"
"202000044449","2020-06-27T00:00:00.000000","   45.795255","     0.39802","Route Départementale","          80","Partie rectiligne","           0","          41","Normale","Aucun","Sur accotement","          16"
"202000044483","2020-06-26T00:00:00.000000","   45.702905","    0.271793","Route Départementale","          50","Partie rectiligne","           0","           7","Normale","Aucun","Sur chaussée","          16"
"202000044689","2020-08-25T00:00:00.000000","    46.32419","    -0.46771","Route Départementale","          50","Partie rectiligne","          25","          11","Normale","Aucun","Sur piste cyclable","          79"
"202000045046","2020-10-23T00:00:00.000000","   46.102846","    0.702326","Route Départementale","          50","Partie rectiligne","           0","          57","Mouillée","Carrefour aménagé","Sur chaussée","          16"
"202000045150","2020-10-23T00:00:00.000000","   45.622322","   -0.340544","Voie Communales","          80","Partie rectiligne","           0","          38","Mouillée","Aucun","Sur chaussée","          16"
"201900058830","2019-12-01T00:00:00.000000","   45.685437","    0.269144","Voie Communales","          50","En courbe à droite","           0","         2.4","Mouillée","Aucun","Sur chaussée","          16"
"202000045395","2020-10-20T00:00:00.000000","   45.694505","   -0.349301","Route nationale","          80","En courbe à droite","          28","           7","Mouillée","Aucun","Sur chaussée","          16"
"202000045552","2020-07-25T00:00:00.000000","   45.763392","    0.157413","Voie Communales","          70","Partie rectiligne","           0","          46","Normale","Aucun","Sur accotement","          16"
